NAME,ALT_NAME1,ALT_NAME2,SOURCE,DEFINITION,REG_NAME,DIST_NAME,RELIABILIT,X_COORD,Y_COORD,P_CODE,CODE,FID_1,FID_Somali,NAME_1,ALT_NAME_1,ALT_NAME_2,SOURCE_1,DEFINITI_1,REG_NAME_1,DIST_NAM_1,RELIABIL_1,X_COORD_1,Y_COORD_1,P_CODE_1,CODE_1,FID_som_ad,admin2Name,admin2Pcod,admin2RefN,admin2AltN,admin2Al_1,admin1Name,admin1Pcod,admin0Name,admin0Pcod
Dudundher,,,FSAU,Settlement,Middle Juba,Saakow,Verified,41.46098000000,1.31787000000,NA-3712-S22-001,S22-001,"655","3781",Dudundher,,,FSAU,Settlement,Middle Juba,Saakow,Verified,41.46098000000,1.31787000000,NA-3712-S22-001,S22-001,"70",Saakow,SO2703,Saakow,Sakow,,Middle Juba,SO27,Somalia,SO
Dufaley,,,UNDP - 2006,Settlement,Hiraan,Jalalaqsi,Verified,45.64888000000,3.45705000000,NA-3803-P15-002,P15-002,"5442","3782",Dufaley,,,UNDP - 2006,Settlement,Hiraan,Jalalaqsi,Verified,45.64888000000,3.45705000000,NA-3803-P15-002,P15-002,"41",Jalalaqsi,SO2003,Jalalaqsi,,,Hiraan,SO20,Somalia,SO
Dugaarey,,,UNDP - 2006,Settlement,Lower Shabelle,Sablaale,Verified,43.94667000000,1.43575000000,NA-3810-P10-017,P10-017,"723","3783",Dugaarey,,,UNDP - 2006,Settlement,Lower Shabelle,Sablaale,Verified,43.94667000000,1.43575000000,NA-3810-P10-017,P10-017,"51",Sablaale,SO2306,Sablaale,Sablale,,Lower Shabelle,SO23,Somalia,SO
Dugdumaale,,,UNDP - 1997,Settlement,Bay,Buur Hakaba,Verified,44.27376900000,2.83527000000,NA-3806-D18-001,D18-001,"3708","3784",Dugdumaale,,,UNDP - 1997,Settlement,Bay,Buur Hakaba,Verified,44.27376900000,2.83527000000,NA-3806-D18-001,D18-001,"54",Buur Hakaba,SO2402,Buur Hakaba,"Buur Xakaba, Bur Hacaba",,Bay,SO24,Somalia,SO
Duggaalley,,,UNDP - 1997,Settlement,Middle Shabelle,Balcad,Verified,45.42190200000,2.25130000000,NA-3807-T10-001,T10-001,"2018","3785",Duggaalley,,,UNDP - 1997,Settlement,Middle Shabelle,Balcad,Verified,45.42190200000,2.25130000000,NA-3807-T10-001,T10-001,"44",Balcad,SO2103,Balcad,Balad,,Middle Shabelle,SO21,Somalia,SO
Dugille,,,UNDP - 2006,Settlement,Hiraan,Belet Weyne,Verified,45.43265000000,5.36885000000,NB-3811-R10-001,R10-001,"7032","3786",Dugille,,,UNDP - 2006,Settlement,Hiraan,Belet Weyne,Verified,45.43265000000,5.36885000000,NB-3811-R10-001,R10-001,"39",Belet Weyne,SO2001,Belet Weyne,Beled Weyne,,Hiraan,SO20,Somalia,SO
Dugow-Dugow,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.53140000000,3.13873000000,NA-3802-W01-015,W01-015,"4721","3787",Dugow-Dugow,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.53140000000,3.13873000000,NA-3802-W01-015,W01-015,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Dugsamey,,,UNDP - 1997,Settlement,Bakool,Waajid,Verified,43.47996900000,3.70330000000,NA-3801-H33-002,H33-002,"5745","3788",Dugsamey,,,UNDP - 1997,Settlement,Bakool,Waajid,Verified,43.47996900000,3.70330000000,NA-3801-H33-002,H33-002,"60",Waajid,SO2504,Waajid,Wajid,,Bakool,SO25,Somalia,SO
Dugsi,,,UNDP - 2006,Settlement,Hiraan,Belet Weyne,Verified,45.50241000000,4.69640000000,NB-3815-H12-001,H12-001,"6803","3789",Dugsi,,,UNDP - 2006,Settlement,Hiraan,Belet Weyne,Verified,45.50241000000,4.69640000000,NB-3815-H12-001,H12-001,"39",Belet Weyne,SO2001,Belet Weyne,Beled Weyne,,Hiraan,SO20,Somalia,SO
Dugsiilow,,,UNDP - 1997,Settlement,Bakool,Xudur,Verified,43.94786800000,3.99681000000,NA-3802-A10-001,A10-001,"6223","3790",Dugsiilow,,,UNDP - 1997,Settlement,Bakool,Xudur,Verified,43.94786800000,3.99681000000,NA-3802-A10-001,A10-001,"57",Xudur,SO2501,Xudur,Hudur,,Bakool,SO25,Somalia,SO
Dugsiilow,Dusiilow,,"UNDP - 2006, UNDP - 1997",Settlement,Bay,Baidoa,Verified,43.57626000000,3.46834000000,NA-3802-N02-002,N02-002,"5450","3791",Dugsiilow,Dusiilow,,"UNDP - 2006, UNDP - 1997",Settlement,Bay,Baidoa,Verified,43.57626000000,3.46834000000,NA-3802-N02-002,N02-002,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Dugsiilow,Dugsiro,,"UNDP - 2006, UNDP - 1997",Settlement,Bay,Baidoa,Verified,43.56118000000,3.23800000000,NA-3802-U02-014,U02-014,"5022","3792",Dugsiilow,Dugsiro,,"UNDP - 2006, UNDP - 1997",Settlement,Bay,Baidoa,Verified,43.56118000000,3.23800000000,NA-3802-U02-014,U02-014,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Dugsiilow,,,"UNDP - 2006, FSAU",Settlement,Bay,Baidoa,Verified,43.69384000000,2.98426000000,NA-3806-A05-005,A05-005,"4215","3793",Dugsiilow,,,"UNDP - 2006, FSAU",Settlement,Bay,Baidoa,Verified,43.69384000000,2.98426000000,NA-3806-A05-005,A05-005,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Dugsilow,,,UNDP - 2006,Settlement,Middle Shabelle,Balcad,Verified,45.86016700000,2.49040400000,NA-3807-N19-005,N19-005,"2603","3794",Dugsilow,,,UNDP - 2006,Settlement,Middle Shabelle,Balcad,Verified,45.86016700000,2.49040400000,NA-3807-N19-005,N19-005,"44",Balcad,SO2103,Balcad,Balad,,Middle Shabelle,SO21,Somalia,SO
Dugsilow Sh. Xassan,,,UNDP - 2006,Settlement,Lower Shabelle,Wanla Weyn,Verified,45.09558000000,2.54273000000,NA-3807-L03-001,L03-001,"2757","3795",Dugsilow Sh. Xassan,,,UNDP - 2006,Settlement,Lower Shabelle,Wanla Weyn,Verified,45.09558000000,2.54273000000,NA-3807-L03-001,L03-001,"52",Wanla Weyn,SO2307,Wanla Weyn,Wanla Weyne,,Lower Shabelle,SO23,Somalia,SO
Dugsulow,,,UNDP - 1997,Settlement,Lower Shabelle,Wanla Weyn,Verified,44.90448000000,2.67420600000,NA-3806-H31-002,H31-002,"3160","3796",Dugsulow,,,UNDP - 1997,Settlement,Lower Shabelle,Wanla Weyn,Verified,44.90448000000,2.67420600000,NA-3806-H31-002,H31-002,"52",Wanla Weyn,SO2307,Wanla Weyn,Wanla Weyne,,Lower Shabelle,SO23,Somalia,SO
Duguia Iantar,,,UNDP - 1997,Settlement,Middle Juba,Bu'aale,Verified,42.58050200000,1.12720000000,NA-3809-W13-001,W13-001,"574","3797",Duguia Iantar,,,UNDP - 1997,Settlement,Middle Juba,Bu'aale,Verified,42.58050200000,1.12720000000,NA-3809-W13-001,W13-001,"68",Bu'aale,SO2701,Bu'aale,,,Middle Juba,SO27,Somalia,SO
Dugule,Dugulle,,"UNDP - 2006, UNDP - 1997",Settlement,Bay,Buur Hakaba,Verified,44.52399100000,2.27893000000,NA-3806-T23-001,T23-001,"2085","3798",Dugule,Dugulle,,"UNDP - 2006, UNDP - 1997",Settlement,Bay,Buur Hakaba,Verified,44.52399100000,2.27893000000,NA-3806-T23-001,T23-001,"54",Buur Hakaba,SO2402,Buur Hakaba,"Buur Xakaba, Bur Hacaba",,Bay,SO24,Somalia,SO
Duhurboode,,,UNDP - 1997,Settlement,Lower Shabelle,Wanla Weyn,Verified,45.05606100000,2.69229000000,NA-3807-H02-005,H02-005,"3202","3799",Duhurboode,,,UNDP - 1997,Settlement,Lower Shabelle,Wanla Weyn,Verified,45.05606100000,2.69229000000,NA-3807-H02-005,H02-005,"52",Wanla Weyn,SO2307,Wanla Weyn,Wanla Weyne,,Lower Shabelle,SO23,Somalia,SO
Dujumadeshekfam,,,FSAU,Settlement,Middle Juba,Bu'aale,Verified,42.56757000000,1.24064000000,NA-3809-U13-005,U13-005,"622","3800",Dujumadeshekfam,,,FSAU,Settlement,Middle Juba,Bu'aale,Verified,42.56757000000,1.24064000000,NA-3809-U13-005,U13-005,"68",Bu'aale,SO2701,Bu'aale,,,Middle Juba,SO27,Somalia,SO
Dujuuma,,,UNDP - 1997,Settlement,Middle Juba,Bu'aale,Verified,42.57291000000,1.25406000000,NA-3809-T13-001,T13-001,"629","3801",Dujuuma,,,UNDP - 1997,Settlement,Middle Juba,Bu'aale,Verified,42.57291000000,1.25406000000,NA-3809-T13-001,T13-001,"68",Bu'aale,SO2701,Bu'aale,,,Middle Juba,SO27,Somalia,SO
Dukaanka,,,UNDP - 1997,Settlement,Bay,Buur Hakaba,Verified,43.82820900000,2.74605000000,NA-3806-G08-002,G08-002,"3356","3802",Dukaanka,,,UNDP - 1997,Settlement,Bay,Buur Hakaba,Verified,43.82820900000,2.74605000000,NA-3806-G08-002,G08-002,"54",Buur Hakaba,SO2402,Buur Hakaba,"Buur Xakaba, Bur Hacaba",,Bay,SO24,Somalia,SO
Dulanta,,,UNDP - 2006,Settlement,Bay,Qansax Dheere,Verified,42.82953000000,2.79693000000,NA-3805-E19-002,E19-002,"3544","3803",Dulanta,,,UNDP - 2006,Settlement,Bay,Qansax Dheere,Verified,42.82953000000,2.79693000000,NA-3805-E19-002,E19-002,"56",Qansax Dheere,SO2404,Qansax Dheere,Qansah Dere,,Bay,SO24,Somalia,SO
Dullo Carcaraaf,Dula Carcaraaf,,"GTZ - 2002, UNDP - 1997",Settlement,Togdheer,Buuhoodle,Verified,46.38913200000,8.80254900000,NC-3815-E31-002,E31-002,"7762","3804",Dullo Carcaraaf,Dula Carcaraaf,,"GTZ - 2002, UNDP - 1997",Settlement,Togdheer,Buuhoodle,Verified,46.38913200000,8.80254900000,NC-3815-E31-002,E31-002,"10",Buuhoodle,SO1302,Buuhoodle,Buhodle,,Togdheer,SO13,Somalia,SO
Dulmurux,,,"UNDP - 2006, FSAU",Settlement,Gedo,Luuq,Verified,42.81726000000,3.92725000000,NA-3801-B18-001,B18-001,"6089","3805",Dulmurux,,,"UNDP - 2006, FSAU",Settlement,Gedo,Luuq,Verified,42.81726000000,3.92725000000,NA-3801-B18-001,B18-001,"67",Luuq,SO2606,Luuq,"Luuk, Luq",,Gedo,SO26,Somalia,SO
Duluunka,,,UNDP - 1997,Settlement,Bay,Baidoa,Verified,43.62202800000,3.29261000000,NA-3802-S03-002,S03-002,"5164","3806",Duluunka,,,UNDP - 1997,Settlement,Bay,Baidoa,Verified,43.62202800000,3.29261000000,NA-3802-S03-002,S03-002,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Duluunte,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.21470000000,2.71913000000,NA-3805-G27-001,G27-001,"3276","3807",Duluunte,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.21470000000,2.71913000000,NA-3805-G27-001,G27-001,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Dumaaye,Ceel-Dumay,Ceel-Dumaaye,"UNDP - 2006, UNDP - 1997",Settlement,Middle Shabelle,Adan Yabaal,Verified,46.89561000000,3.54972000000,NA-3804-L09-001,L09-001,"5529","3808",Dumaaye,Ceel-Dumay,Ceel-Dumaaye,"UNDP - 2006, UNDP - 1997",Settlement,Middle Shabelle,Adan Yabaal,Verified,46.89561000000,3.54972000000,NA-3804-L09-001,L09-001,"43",Adan Yabaal,SO2102,Adan Yabaal,"Aden Yabal, Aadan",,Middle Shabelle,SO21,Somalia,SO
Dumaaye,Dumaye,,"UNDP - 2006, UNDP - 1997, FSAU",Settlement,Mudug,Xarardheere,Verified,47.61589000000,4.87728000000,NB-3816-C25-001,C25-001,"6890","3809",Dumaaye,Dumaye,,"UNDP - 2006, UNDP - 1997, FSAU",Settlement,Mudug,Xarardheere,Verified,47.61589000000,4.87728000000,NB-3816-C25-001,C25-001,"33",Xarardheere,SO1805,Xarardheere,"Hararheere, Harardhere",,Mudug,SO18,Somalia,SO
Dumadle,Dumodleh,,"GTZ - 2002, UNDP - 1997",Settlement,Sool,Xudun,Verified,47.09951300000,9.41793600000,NC-3812-P14-001,P14-001,"8100","3810",Dumadle,Dumodleh,,"GTZ - 2002, UNDP - 1997",Settlement,Sool,Xudun,Verified,47.09951300000,9.41793600000,NC-3812-P14-001,P14-001,"16",Xudun,SO1404,Xudun,Hudun,,Sool,SO14,Somalia,SO
Dumaley,Dhumaley,,UNDP - 2006,Settlement,Middle Shabelle,Jowhar,Verified,45.41632000000,2.83622000000,NA-3807-D10-002,D10-002,"3711","3811",Dumaley,Dhumaley,,UNDP - 2006,Settlement,Middle Shabelle,Jowhar,Verified,45.41632000000,2.83622000000,NA-3807-D10-002,D10-002,"42",Jowhar,SO2101,Jowhar,Jawhar,,Middle Shabelle,SO21,Somalia,SO
Dunaati,,,UNDP - 1997,Settlement,Lower Shabelle,Qoryooley,Verified,44.53403900000,1.69046000000,NA-3810-H23-003,H23-003,"932","3812",Dunaati,,,UNDP - 1997,Settlement,Lower Shabelle,Qoryooley,Verified,44.53403900000,1.69046000000,NA-3810-H23-003,H23-003,"46",Marka,SO2301,Marka,Merka,,Lower Shabelle,SO23,Somalia,SO
Dunbuluq,,,UNDP - 2006,Settlement,Awdal,Borama,Verified,43.17862000000,9.91694000000,NC-3809-B26-003,B26-003,"8733","3813",Dunbuluq,,,UNDP - 2006,Settlement,Awdal,Borama,Verified,43.17862000000,9.91694000000,NC-3809-B26-003,B26-003,"2",Borama,SO1101,Borama,Boorama,,Awdal,SO11,Somalia,SO
Duqaaqo,,,UNDP - 2006,Settlement,Mudug,Gaalkacyo,Verified,47.10407400000,6.33039700000,NB-3808-S14-001,S14-001,"7241","3814",Duqaaqo,,,UNDP - 2006,Settlement,Mudug,Gaalkacyo,Verified,47.10407400000,6.33039700000,NB-3808-S14-001,S14-001,"36",Cadaado,SO1903,Cadaado,"Cadado, Adado",,Galgaduud,SO19,Somalia,SO
Duqiyo Ereey,,,UNDP - 1997,Settlement,Middle Juba,Bu'aale,Verified,42.59975100000,1.16990000000,NA-3809-V14-001,V14-001,"597","3815",Duqiyo Ereey,,,UNDP - 1997,Settlement,Middle Juba,Bu'aale,Verified,42.59975100000,1.16990000000,NA-3809-V14-001,V14-001,"68",Bu'aale,SO2701,Bu'aale,,,Middle Juba,SO27,Somalia,SO
Duqiyo Kuusow,,,UNDP - 1997,Settlement,Middle Juba,Bu'aale,Verified,42.56840900000,1.16255000000,NA-3809-W13-004,W13-004,"590","3816",Duqiyo Kuusow,,,UNDP - 1997,Settlement,Middle Juba,Bu'aale,Verified,42.56840900000,1.16255000000,NA-3809-W13-004,W13-004,"68",Bu'aale,SO2701,Bu'aale,,,Middle Juba,SO27,Somalia,SO
Duqiyo Weyn,,,UNDP - 1997,Settlement,Middle Juba,Bu'aale,Verified,42.61370100000,1.14624000000,NA-3809-W14-001,W14-001,"582","3817",Duqiyo Weyn,,,UNDP - 1997,Settlement,Middle Juba,Bu'aale,Verified,42.61370100000,1.14624000000,NA-3809-W14-001,W14-001,"68",Bu'aale,SO2701,Bu'aale,,,Middle Juba,SO27,Somalia,SO
Duqow,,,UNDP - 2006,Settlement,Lower Shabelle,Kurtunwaarey,Verified,44.10695000000,1.49555000000,NA-3810-N14-002,N14-002,"764","3818",Duqow,,,UNDP - 2006,Settlement,Lower Shabelle,Kurtunwaarey,Verified,44.10695000000,1.49555000000,NA-3810-N14-002,N14-002,"49",Kurtunwaarey,SO2304,Kurtunwaarey,Kuntuwaaray,,Lower Shabelle,SO23,Somalia,SO
Duray,,,UNDP - 2006,Settlement,Middle Shabelle,Jowhar,Verified,45.33602000000,2.92328000000,NA-3807-B08-002,B08-002,"3990","3819",Duray,,,UNDP - 2006,Settlement,Middle Shabelle,Jowhar,Verified,45.33602000000,2.92328000000,NA-3807-B08-002,B08-002,"42",Jowhar,SO2101,Jowhar,Jawhar,,Middle Shabelle,SO21,Somalia,SO
Durdur,,,FSAU,Settlement,Galgaduud,Ceel Dheer,Verified,47.67766000000,4.38555000000,NB-3816-Q26-001,Q26-001,"6639","3820",Durdur,,,FSAU,Settlement,Galgaduud,Ceel Dheer,Verified,47.67766000000,4.38555000000,NB-3816-Q26-001,Q26-001,"38",Ceel Dheer,SO1905,Ceel Dheer,"El Dere, El Der",,Galgaduud,SO19,Somalia,SO
Durdur,,,"UNDP - 2006, GTZ - 2002, UNDP - 1997",Settlement,Sanaag,Ceerigaabo,Verified,47.42988000000,10.22280000000,NC-3808-U21-001,U21-001,"9031","3821",Durdur,,,"UNDP - 2006, GTZ - 2002, UNDP - 1997",Settlement,Sanaag,Ceerigaabo,Verified,47.42988000000,10.22280000000,NC-3808-U21-001,U21-001,"17",Ceerigaabo,SO1501,Ceerigaabo,"Ceerigaavo, Erigavo, Erigabo",,Sanaag,SO15,Somalia,SO
Dur-Dur,,,UNDP - 2006,Settlement,Hiraan,Belet Weyne,Verified,45.29827000000,4.42392000000,NB-3815-P07-003,P07-003,"6662","3822",Dur-Dur,,,UNDP - 2006,Settlement,Hiraan,Belet Weyne,Verified,45.29827000000,4.42392000000,NB-3815-P07-003,P07-003,"39",Belet Weyne,SO2001,Belet Weyne,Beled Weyne,,Hiraan,SO20,Somalia,SO
Durdura,Durdur,,"UNDP - 2006, UNDP - 1997",Settlement,Bari,Bandarbayla,Verified,50.58538000000,9.03354000000,NC-3810-Z24-001,Z24-001,"7861","3823",Durdura,Durdur,,"UNDP - 2006, UNDP - 1997",Settlement,Bari,Bandarbayla,Verified,50.58538000000,9.03354000000,NC-3810-Z24-001,Z24-001,"21",Bandarbeyla,SO1602,Bandarbeyla,"Bandar Beyla, Bander-beyla, Benderbela",,Bari,SO16,Somalia,SO
Dur-Duri,Durduri,,"UNDP - 2006, UNDP - 1997, FSAU",Settlement,Sanaag,Laasqoray,Verified,48.58537000000,11.29662000000,NC-3901-S13-001,S13-001,"9513","3824",Dur-Duri,Durduri,,"UNDP - 2006, UNDP - 1997, FSAU",Settlement,Sanaag,Laasqoray,Verified,48.58537000000,11.29662000000,NC-3901-S13-001,S13-001,"19",Laasqoray,SO1503,Laasqoray,Lasqoray,,Sanaag,SO15,Somalia,SO
Dure Emed,Durey Emid,,UNDP - 1997,Settlement,Bay,Qansax Dheere,Verified,42.92974100000,2.83366000000,NA-3805-D21-001,D21-001,"3695","3825",Dure Emed,Durey Emid,,UNDP - 1997,Settlement,Bay,Qansax Dheere,Verified,42.92974100000,2.83366000000,NA-3805-D21-001,D21-001,"56",Qansax Dheere,SO2404,Qansax Dheere,Qansah Dere,,Bay,SO24,Somalia,SO
Dureerdher,Dureerdheer,Dureer Dher,UNDP - 2006,Settlement,Lower Shabelle,Qoryooley,Verified,44.51425000000,2.09831000000,NA-3806-X23-005,X23-005,"1588","3826",Dureerdher,Dureerdheer,Dureer Dher,UNDP - 2006,Settlement,Lower Shabelle,Qoryooley,Verified,44.51425000000,2.09831000000,NA-3806-X23-005,X23-005,"50",Qoryooley,SO2305,Qoryooley,Qoryoley,,Lower Shabelle,SO23,Somalia,SO
Durey,,,UNDP - 2006,Settlement,Bakool,Tayeeglow,Verified,44.46949000000,3.87508000000,NA-3802-C22-002,C22-002,"5994","3827",Durey,,,UNDP - 2006,Settlement,Bakool,Tayeeglow,Verified,44.46949000000,3.87508000000,NA-3802-C22-002,C22-002,"59",Tayeeglow,SO2503,Tayeeglow,"Tiyeeglow, Tayeglow, Tieglow",,Bakool,SO25,Somalia,SO
Duriduri,Durdur Melo,,"GTZ - 2002, UNDP - 1997",Settlement,Sanaag,Laasqoray,Verified,48.72857600000,10.98222200000,NC-3905-A17-001,A17-001,"9395","3828",Duriduri,Durdur Melo,,"GTZ - 2002, UNDP - 1997",Settlement,Sanaag,Laasqoray,Verified,48.72857600000,10.98222200000,NC-3905-A17-001,A17-001,"19",Laasqoray,SO1503,Laasqoray,Lasqoray,,Sanaag,SO15,Somalia,SO
Durouf,,,UNDP - 2006,Settlement,Lower Shabelle,Afgooye,Verified,45.16025000000,2.48950000000,NA-3807-N04-002,N04-002,"2605","3829",Durouf,,,UNDP - 2006,Settlement,Lower Shabelle,Afgooye,Verified,45.16025000000,2.48950000000,NA-3807-N04-002,N04-002,"47",Afgooye,SO2302,Afgooye,Afgoi,,Lower Shabelle,SO23,Somalia,SO
Durow,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.97918000000,3.90888000000,NA-3802-C11-003,C11-003,"6040","3830",Durow,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.97918000000,3.90888000000,NA-3802-C11-003,C11-003,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
