NAME,ALT_NAME1,ALT_NAME2,SOURCE,DEFINITION,REG_NAME,DIST_NAME,RELIABILIT,X_COORD,Y_COORD,P_CODE,CODE,FID_1,FID_Somali,NAME_1,ALT_NAME_1,ALT_NAME_2,SOURCE_1,DEFINITI_1,REG_NAME_1,DIST_NAM_1,RELIABIL_1,X_COORD_1,Y_COORD_1,P_CODE_1,CODE_1,FID_som_ad,admin2Name,admin2Pcod,admin2RefN,admin2AltN,admin2Al_1,admin1Name,admin1Pcod,admin0Name,admin0Pcod
22 Village,Zzaad,Labayo Labaatanaa,"KEMRI - 2007, UNDP - 2006",Settlement,Nugaal,Garowe,Verified,48.65071000000,8.47760000000,NC-3913-N15-001,N15-001,"7641","0",22 Village,Zzaad,Labayo Labaatanaa,"KEMRI - 2007, UNDP - 2006",Settlement,Nugaal,Garowe,Verified,48.65071000000,8.47760000000,NC-3913-N15-001,N15-001,"26",Garoowe,SO1701,Garoowe,Garowe,,Nugaal,SO17,Somalia,SO
26 June/Almis,,,GTZ - 2002,Part of town,Woqooyi Galbeed,Hargeysa,Verified,44.06305000000,9.57015800000,NC-3810-L13-014,L13-014,"8299","1",26 June/Almis,,,GTZ - 2002,Part of town,Woqooyi Galbeed,Hargeysa,Verified,44.06305000000,9.57015800000,NC-3810-L13-014,L13-014,"6",Hargeysa,SO1201,Hargeysa,Hargeisa,,Woqooyi Galbeed,SO12,Somalia,SO
26 June/Cayncal,,,GTZ - 2002,Part of town,Woqooyi Galbeed,Hargeysa,Verified,44.06091500000,9.58114900000,NC-3810-L13-015,L13-015,"8309","2",26 June/Cayncal,,,GTZ - 2002,Part of town,Woqooyi Galbeed,Hargeysa,Verified,44.06091500000,9.58114900000,NC-3810-L13-015,L13-015,"6",Hargeysa,SO1201,Hargeysa,Hargeisa,,Woqooyi Galbeed,SO12,Somalia,SO
26 June/Durfa,,,GTZ - 2002,Part of town,Woqooyi Galbeed,Hargeysa,Verified,44.06389400000,9.56140600000,NC-3810-L13-008,L13-008,"8280","3",26 June/Durfa,,,GTZ - 2002,Part of town,Woqooyi Galbeed,Hargeysa,Verified,44.06389400000,9.56140600000,NC-3810-L13-008,L13-008,"6",Hargeysa,SO1201,Hargeysa,Hargeisa,,Woqooyi Galbeed,SO12,Somalia,SO
26 June/Qol Jamo,,,GTZ - 2002,Part of town,Woqooyi Galbeed,Hargeysa,Verified,44.05752800000,9.56699600000,NC-3810-L13-018,L13-018,"8291","4",26 June/Qol Jamo,,,GTZ - 2002,Part of town,Woqooyi Galbeed,Hargeysa,Verified,44.05752800000,9.56699600000,NC-3810-L13-018,L13-018,"6",Hargeysa,SO1201,Hargeysa,Hargeisa,,Woqooyi Galbeed,SO12,Somalia,SO
A/Taraman Mayow,,,UNDP - 2006,Settlement,Lower Shabelle,Wanla Weyn,Verified,44.86136000000,2.41415000000,NA-3806-Q30-016,Q30-016,"2377","5",A/Taraman Mayow,,,UNDP - 2006,Settlement,Lower Shabelle,Wanla Weyn,Verified,44.86136000000,2.41415000000,NA-3806-Q30-016,Q30-016,"52",Wanla Weyn,SO2307,Wanla Weyn,Wanla Weyne,,Lower Shabelle,SO23,Somalia,SO
Aabaan Weyn,,,UNDP - 1997,Settlement,Bay,Buur Hakaba,Verified,44.01572000000,2.64585000000,NA-3806-J12-003,J12-003,"3075","6",Aabaan Weyn,,,UNDP - 1997,Settlement,Bay,Buur Hakaba,Verified,44.01572000000,2.64585000000,NA-3806-J12-003,J12-003,"54",Buur Hakaba,SO2402,Buur Hakaba,"Buur Xakaba, Bur Hacaba",,Bay,SO24,Somalia,SO
Aabaan Yare,,,UNDP - 1997,Settlement,Bay,Buur Hakaba,Verified,44.03844800000,2.62840000000,NA-3806-J12-002,J12-002,"3031","7",Aabaan Yare,,,UNDP - 1997,Settlement,Bay,Buur Hakaba,Verified,44.03844800000,2.62840000000,NA-3806-J12-002,J12-002,"54",Buur Hakaba,SO2402,Buur Hakaba,"Buur Xakaba, Bur Hacaba",,Bay,SO24,Somalia,SO
Aabaraka,Aabarak,,"UNDP - 2006, UNDP - 1997",Settlement,Bay,Baidoa,Verified,43.48935000000,3.06661000000,NA-3801-Y33-006,Y33-006,"4477","8",Aabaraka,Aabarak,,"UNDP - 2006, UNDP - 1997",Settlement,Bay,Baidoa,Verified,43.48935000000,3.06661000000,NA-3801-Y33-006,Y33-006,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Aabdille-Eenow,,,UNDP - 2006,Settlement,Lower Shabelle,Wanla Weyn,Verified,45.03152000000,2.55827000000,NA-3807-L01-008,L01-008,"2820","9",Aabdille-Eenow,,,UNDP - 2006,Settlement,Lower Shabelle,Wanla Weyn,Verified,45.03152000000,2.55827000000,NA-3807-L01-008,L01-008,"52",Wanla Weyn,SO2307,Wanla Weyn,Wanla Weyne,,Lower Shabelle,SO23,Somalia,SO
Aabow,,,UNDP - 1997,Settlement,Bay,Buur Hakaba,Verified,44.16656100000,3.03334000000,NA-3802-Z15-004,Z15-004,"4357","10",Aabow,,,UNDP - 1997,Settlement,Bay,Buur Hakaba,Verified,44.16656100000,3.03334000000,NA-3802-Z15-004,Z15-004,"54",Buur Hakaba,SO2402,Buur Hakaba,"Buur Xakaba, Bur Hacaba",,Bay,SO24,Somalia,SO
Aada,Caada,Caadda,"KEMRI - 2007, UNDP - 2006, UNDP - 1997",Settlement,Woqooyi Galbeed,Gebiley,Verified,43.80730000000,9.96026000000,NC-3810-A07-001,A07-001,"8793","11",Aada,Caada,Caadda,"KEMRI - 2007, UNDP - 2006, UNDP - 1997",Settlement,Woqooyi Galbeed,Gebiley,Verified,43.80730000000,9.96026000000,NC-3810-A07-001,A07-001,"8",Gebiley,SO1203,Gebiley,Gabiley,,Woqooyi Galbeed,SO12,Somalia,SO
Aadali-Wiin,,,UNDP - 2006,Settlement,Bay,Buur Hakaba,Verified,43.52214300000,2.10960300000,NA-3806-X01-006,X01-006,"1620","12",Aadali-Wiin,,,UNDP - 2006,Settlement,Bay,Buur Hakaba,Verified,43.52214300000,2.10960300000,NA-3806-X01-006,X01-006,"54",Buur Hakaba,SO2402,Buur Hakaba,"Buur Xakaba, Bur Hacaba",,Bay,SO24,Somalia,SO
Aadan Harmey,,,UNDP - 1997,Settlement,Lower Shabelle,Sablaale,Verified,43.92398100000,1.43737000000,NA-3810-P10-019,P10-019,"725","13",Aadan Harmey,,,UNDP - 1997,Settlement,Lower Shabelle,Sablaale,Verified,43.92398100000,1.43737000000,NA-3810-P10-019,P10-019,"51",Sablaale,SO2306,Sablaale,Sablale,,Lower Shabelle,SO23,Somalia,SO
Aadan Muuse,,,UNDP - 2006,Settlement,Woqooyi Galbeed,Hargeysa,Verified,44.14971000000,9.43758000000,NC-3810-P15-003,P15-003,"8124","14",Aadan Muuse,,,UNDP - 2006,Settlement,Woqooyi Galbeed,Hargeysa,Verified,44.14971000000,9.43758000000,NC-3810-P15-003,P15-003,"6",Hargeysa,SO1201,Hargeysa,Hargeisa,,Woqooyi Galbeed,SO12,Somalia,SO
Aadan Saleebaan,Aden Saleban,,"UNDP - 2006, FSAU",Settlement,Togdheer,Burco,Verified,45.57495000000,9.51974800000,NC-3811-M13-002,M13-002,"8218","15",Aadan Saleebaan,Aden Saleban,,"UNDP - 2006, FSAU",Settlement,Togdheer,Burco,Verified,45.57495000000,9.51974800000,NC-3811-M13-002,M13-002,"9",Burco,SO1301,Burco,Burao,,Togdheer,SO13,Somalia,SO
Aadan-Cadde/Deegaanta,Aadan Cade,"Batarmiin, Deegaa","KEMRI - 2007, UNDP - 2006, UNDP - 1997",Settlement,Lower Shabelle,Marka,Verified,44.65530000000,1.75530000000,NA-3810-F26-003,F26-003,"1082","16",Aadan-Cadde/Deegaanta,Aadan Cade,"Batarmiin, Deegaa","KEMRI - 2007, UNDP - 2006, UNDP - 1997",Settlement,Lower Shabelle,Marka,Verified,44.65530000000,1.75530000000,NA-3810-F26-003,F26-003,"46",Marka,SO2301,Marka,Merka,,Lower Shabelle,SO23,Somalia,SO
Aadao Nuur,,,UNDP - 1997,Settlement,Lower Shabelle,Qoryooley,Verified,44.63896200000,1.83147000000,NA-3810-E26-013,E26-013,"1230","17",Aadao Nuur,,,UNDP - 1997,Settlement,Lower Shabelle,Qoryooley,Verified,44.63896200000,1.83147000000,NA-3810-E26-013,E26-013,"50",Qoryooley,SO2305,Qoryooley,Qoryoley,,Lower Shabelle,SO23,Somalia,SO
Aaliyo,Soobe,,KEMRI - 2007,Settlement,Lower Shabelle,Marka,Verified,44.63779000000,1.74230000000,NA-3810-G26-005,G26-005,"1038","18",Aaliyo,Soobe,,KEMRI - 2007,Settlement,Lower Shabelle,Marka,Verified,44.63779000000,1.74230000000,NA-3810-G26-005,G26-005,"46",Marka,SO2301,Marka,Merka,,Lower Shabelle,SO23,Somalia,SO
Aaminaay,,,UNDP - 1997,Settlement,Gedo,Baardheere,Verified,42.33992000000,2.30921000000,NA-3805-S08-004,S08-004,"2154","19",Aaminaay,,,UNDP - 1997,Settlement,Gedo,Baardheere,Verified,42.33992000000,2.30921000000,NA-3805-S08-004,S08-004,"63",Baardheere,SO2602,Baardheere,"Baar-dheere, Bardera",,Gedo,SO26,Somalia,SO
Aaminey,,,UNDP - 2006,Settlement,Bay,Buur Hakaba,Verified,44.09560000000,2.87296000000,NA-3806-D14-009,D14-009,"3834","20",Aaminey,,,UNDP - 2006,Settlement,Bay,Buur Hakaba,Verified,44.09560000000,2.87296000000,NA-3806-D14-009,D14-009,"54",Buur Hakaba,SO2402,Buur Hakaba,"Buur Xakaba, Bur Hacaba",,Bay,SO24,Somalia,SO
Aaminey 9,,,UNDP - 2006,Settlement,Gedo,Baardheere,Verified,42.32290000000,2.30765000000,NA-3805-S08-003,S08-003,"2151","21",Aaminey 9,,,UNDP - 2006,Settlement,Gedo,Baardheere,Verified,42.32290000000,2.30765000000,NA-3805-S08-003,S08-003,"63",Baardheere,SO2602,Baardheere,"Baar-dheere, Bardera",,Gedo,SO26,Somalia,SO
Aaminey/Kobon Koodi,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.72598000000,2.90250000000,NA-3806-C05-003,C05-003,"3930","22",Aaminey/Kobon Koodi,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.72598000000,2.90250000000,NA-3806-C05-003,C05-003,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Aaminow,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.95183000000,3.06654000000,NA-3802-Y10-002,Y10-002,"4478","23",Aaminow,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.95183000000,3.06654000000,NA-3802-Y10-002,Y10-002,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Aanole,Caanoole,,"UNDP - 2006, UNDP - 1997",Settlement,Gedo,Baardheere,Verified,42.31476000000,2.01387000000,NA-3805-Z07-001,Z07-001,"1478","24",Aanole,Caanoole,,"UNDP - 2006, UNDP - 1997",Settlement,Gedo,Baardheere,Verified,42.31476000000,2.01387000000,NA-3805-Z07-001,Z07-001,"63",Baardheere,SO2602,Baardheere,"Baar-dheere, Bardera",,Gedo,SO26,Somalia,SO
Aanoy,,,UNDP - 2006,Settlement,Bay,Buur Hakaba,Verified,43.23979000000,2.12757000000,NA-3805-W28-001,W28-001,"1683","25",Aanoy,,,UNDP - 2006,Settlement,Bay,Buur Hakaba,Verified,43.23979000000,2.12757000000,NA-3805-W28-001,W28-001,"54",Buur Hakaba,SO2402,Buur Hakaba,"Buur Xakaba, Bur Hacaba",,Bay,SO24,Somalia,SO
Aantaara,,,UNDP - 1997,Settlement,Bari,Bossaso,Verified,49.55170800000,11.44241000000,NC-3902-P02-001,P02-001,"9538","26",Aantaara,,,UNDP - 1997,Settlement,Bari,Bossaso,Verified,49.55170800000,11.44241000000,NC-3902-P02-001,P02-001,"20",Bossaso,SO1601,Bossaso,"Bossaaso, Bossaso , Bosaaso",,Bari,SO16,Somalia,SO
Aaqoosh,Awgoosh,,"UNDP - 2006, UNDP - 1997",Settlement,Bay,Baidoa,Verified,43.52200000000,3.13850000000,NA-3802-W01-007,W01-007,"4718","27",Aaqoosh,Awgoosh,,"UNDP - 2006, UNDP - 1997",Settlement,Bay,Baidoa,Verified,43.52200000000,3.13850000000,NA-3802-W01-007,W01-007,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Aarag,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.46640000000,3.27682000000,NA-3801-T33-003,T33-003,"5125","28",Aarag,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.46640000000,3.27682000000,NA-3801-T33-003,T33-003,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Aarale,,,UNDP - 2006,Settlement,Woqooyi Galbeed,Hargeysa,Verified,43.79305000000,9.53977000000,NC-3810-M07-002,M07-002,"8235","29",Aarale,,,UNDP - 2006,Settlement,Woqooyi Galbeed,Hargeysa,Verified,43.79305000000,9.53977000000,NC-3810-M07-002,M07-002,"6",Hargeysa,SO1201,Hargeysa,Hargeisa,,Woqooyi Galbeed,SO12,Somalia,SO
Aariyooda,,,UNDP - 2006,Settlement,Lower Shabelle,Wanla Weyn,Verified,45.02733000000,2.55318000000,NA-3807-L01-006,L01-006,"2797","30",Aariyooda,,,UNDP - 2006,Settlement,Lower Shabelle,Wanla Weyn,Verified,45.02733000000,2.55318000000,NA-3807-L01-006,L01-006,"52",Wanla Weyn,SO2307,Wanla Weyn,Wanla Weyne,,Lower Shabelle,SO23,Somalia,SO
Aasho,,,UNDP - 2006,Settlement,Bay,Buur Hakaba,Verified,43.46405000000,2.55291000000,NA-3805-L33-001,L33-001,"2798","31",Aasho,,,UNDP - 2006,Settlement,Bay,Buur Hakaba,Verified,43.46405000000,2.55291000000,NA-3805-L33-001,L33-001,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Aawdiinle,Awdiinle,,"UNDP - 2006, UNDP - 1997, FSAU",Settlement,Bay,Baidoa,Verified,43.40989000000,3.17055000000,NA-3801-V32-008,V32-008,"4813","32",Aawdiinle,Awdiinle,,"UNDP - 2006, UNDP - 1997, FSAU",Settlement,Bay,Baidoa,Verified,43.40989000000,3.17055000000,NA-3801-V32-008,V32-008,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Aawjika,,,UNDP - 2006,Settlement,Bay,Diinsoor,Verified,43.04562000000,2.48343000000,NA-3805-N24-001,N24-001,"2589","33",Aawjika,,,UNDP - 2006,Settlement,Bay,Diinsoor,Verified,43.04562000000,2.48343000000,NA-3805-N24-001,N24-001,"55",Diinsoor,SO2403,Diinsoor,"Dinsor, Diinsor",,Bay,SO24,Somalia,SO
Aayaroy,Ayaroy,,"UNDP - 2006, UNDP - 1997",Settlement,Bay,Buur Hakaba,Verified,44.14910000000,3.05652000000,NA-3802-Y15-003,Y15-003,"4433","34",Aayaroy,Ayaroy,,"UNDP - 2006, UNDP - 1997",Settlement,Bay,Buur Hakaba,Verified,44.14910000000,3.05652000000,NA-3802-Y15-003,Y15-003,"54",Buur Hakaba,SO2402,Buur Hakaba,"Buur Xakaba, Bur Hacaba",,Bay,SO24,Somalia,SO
Aayolay,,,UNDP - 1997,Settlement,Bay,Baidoa,Verified,43.90333900000,3.06832000000,NA-3802-Y09-001,Y09-001,"4486","35",Aayolay,,,UNDP - 1997,Settlement,Bay,Baidoa,Verified,43.90333900000,3.06832000000,NA-3802-Y09-001,Y09-001,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Abaali,,,UNDP - 1997,Settlement,Bay,Diinsoor,Verified,42.52056100000,2.09274000000,NA-3805-X12-002,X12-002,"1580","36",Abaali,,,UNDP - 1997,Settlement,Bay,Diinsoor,Verified,42.52056100000,2.09274000000,NA-3805-X12-002,X12-002,"55",Diinsoor,SO2403,Diinsoor,"Dinsor, Diinsor",,Bay,SO24,Somalia,SO
Abaaray,,,"KEMRI - 2007, UNDP - 2006",Settlement,Nugaal,Burtinle,Verified,48.36524000000,7.95528000000,NB-3901-B09-001,B09-001,"7504","37",Abaaray,,,"KEMRI - 2007, UNDP - 2006",Settlement,Nugaal,Burtinle,Verified,48.36524000000,7.95528000000,NB-3901-B09-001,B09-001,"27",Burtinle,SO1702,Burtinle,,,Nugaal,SO17,Somalia,SO
Abaarey,,,"UNDP - 2006, UNDP - 1997",Settlement,Mudug,Gaalkacyo,Verified,47.48927000000,7.05899000000,NB-3804-Y22-001,Y22-001,"7394","38",Abaarey,,,"UNDP - 2006, UNDP - 1997",Settlement,Mudug,Gaalkacyo,Verified,47.48927000000,7.05899000000,NB-3804-Y22-001,Y22-001,"29",Gaalkacyo,SO1801,Gaalkacyo,"Galkacyo, Gaalkacayo, Galkayo",,Mudug,SO18,Somalia,SO
Abaarey,,,UNDP - 2006,Settlement,Bakool,Xudur,Verified,43.88569000000,4.00666000000,NB-3814-Z09-003,Z09-003,"6252","39",Abaarey,,,UNDP - 2006,Settlement,Bakool,Xudur,Verified,43.88569000000,4.00666000000,NB-3814-Z09-003,Z09-003,"57",Xudur,SO2501,Xudur,Hudur,,Bakool,SO25,Somalia,SO
Abaarso,,,"UNDP - 2006, GTZ - 2002, UNDP - 1997",Settlement,Woqooyi Galbeed,Hargeysa,Verified,43.88065300000,9.60246200000,NC-3810-K09-001,K09-001,"8346","40",Abaarso,,,"UNDP - 2006, GTZ - 2002, UNDP - 1997",Settlement,Woqooyi Galbeed,Hargeysa,Verified,43.88065300000,9.60246200000,NC-3810-K09-001,K09-001,"6",Hargeysa,SO1201,Hargeysa,Hargeisa,,Woqooyi Galbeed,SO12,Somalia,SO
Abaase Dhadheer,,,UNDP - 2006,Settlement,Awdal,Borama,Verified,43.20552000000,10.12796000000,NC-3805-W27-001,W27-001,"8969","41",Abaase Dhadheer,,,UNDP - 2006,Settlement,Awdal,Borama,Verified,43.20552000000,10.12796000000,NC-3805-W27-001,W27-001,"2",Borama,SO1101,Borama,Boorama,,Awdal,SO11,Somalia,SO
Abaawle (1),Abawle,,"UNDP - 2006, UNDP - 1997",Settlement,Bay,Buur Hakaba,Verified,44.09598000000,2.76840000000,NA-3806-F14-007,F14-007,"3431","42",Abaawle (1),Abawle,,"UNDP - 2006, UNDP - 1997",Settlement,Bay,Buur Hakaba,Verified,44.09598000000,2.76840000000,NA-3806-F14-007,F14-007,"54",Buur Hakaba,SO2402,Buur Hakaba,"Buur Xakaba, Bur Hacaba",,Bay,SO24,Somalia,SO
Abaawle (2),,,UNDP - 2006,Settlement,Bay,Buur Hakaba,Verified,44.09790000000,2.76246000000,NA-3806-F14-003,F14-003,"3409","43",Abaawle (2),,,UNDP - 2006,Settlement,Bay,Buur Hakaba,Verified,44.09790000000,2.76246000000,NA-3806-F14-003,F14-003,"54",Buur Hakaba,SO2402,Buur Hakaba,"Buur Xakaba, Bur Hacaba",,Bay,SO24,Somalia,SO
Abaayle,,,UNDP - 1997,Settlement,Gedo,Baardheere,Verified,42.24417100000,2.09558000000,NA-3805-X06-001,X06-001,"1585","44",Abaayle,,,UNDP - 1997,Settlement,Gedo,Baardheere,Verified,42.24417100000,2.09558000000,NA-3805-X06-001,X06-001,"63",Baardheere,SO2602,Baardheere,"Baar-dheere, Bardera",,Gedo,SO26,Somalia,SO
Abaayow,,,UNDP - 1997,Settlement,Lower Shabelle,Wanla Weyn,Verified,45.08441900000,2.67429000000,NA-3807-H02-003,H02-003,"3163","45",Abaayow,,,UNDP - 1997,Settlement,Lower Shabelle,Wanla Weyn,Verified,45.08441900000,2.67429000000,NA-3807-H02-003,H02-003,"52",Wanla Weyn,SO2307,Wanla Weyn,Wanla Weyne,,Lower Shabelle,SO23,Somalia,SO
Ababscia,,,UNDP - 1997,Settlement,Lower Shabelle,Kurtunwaarey,Verified,44.27019900000,1.62870000000,NA-3810-J17-001,J17-001,"860","46",Ababscia,,,UNDP - 1997,Settlement,Lower Shabelle,Kurtunwaarey,Verified,44.27019900000,1.62870000000,NA-3810-J17-001,J17-001,"49",Kurtunwaarey,SO2304,Kurtunwaarey,Kuntuwaaray,,Lower Shabelle,SO23,Somalia,SO
Abac Gurei,,,UNDP - 1997,Settlement,Bay,Buur Hakaba,Verified,43.77710000000,2.76950000000,NA-3806-F07-004,F07-004,"3433","47",Abac Gurei,,,UNDP - 1997,Settlement,Bay,Buur Hakaba,Verified,43.77710000000,2.76950000000,NA-3806-F07-004,F07-004,"54",Buur Hakaba,SO2402,Buur Hakaba,"Buur Xakaba, Bur Hacaba",,Bay,SO24,Somalia,SO
Abag Balow,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.39706000000,3.11291000000,NA-3801-X31-004,X31-004,"4620","48",Abag Balow,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.39706000000,3.11291000000,NA-3801-X31-004,X31-004,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Abag Boostoole,,,UNDP - 2006,Part of town,Lower Shabelle,Baraawe,Verified,44.02764000000,1.11531000000,NA-3810-X12-007,X12-007,"567","49",Abag Boostoole,,,UNDP - 2006,Part of town,Lower Shabelle,Baraawe,Verified,44.02764000000,1.11531000000,NA-3810-X12-007,X12-007,"48",Baraawe,SO2303,Baraawe,Barawe,,Lower Shabelle,SO23,Somalia,SO
Abag Dheere,,,UNDP - 1997,Settlement,Bay,Baidoa,Verified,43.85852800000,3.65461000000,NA-3802-J08-001,J08-001,"5675","50",Abag Dheere,,,UNDP - 1997,Settlement,Bay,Baidoa,Verified,43.85852800000,3.65461000000,NA-3802-J08-001,J08-001,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Abag Dheere,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.33345000000,2.94277000000,NA-3805-B30-004,B30-004,"4065","51",Abag Dheere,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.33345000000,2.94277000000,NA-3805-B30-004,B30-004,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Abag-Guduud,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.33875000000,3.39205000000,NA-3801-Q30-001,Q30-001,"5371","52",Abag-Guduud,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.33875000000,3.39205000000,NA-3801-Q30-001,Q30-001,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Abagle,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.83941000000,3.51658000000,NA-3802-M08-003,M08-003,"5491","53",Abagle,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.83941000000,3.51658000000,NA-3802-M08-003,M08-003,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Abagsan Hareeri,Abagsan Hareer,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.54828000000,3.49696000000,NA-3802-N02-003,N02-003,"5469","54",Abagsan Hareeri,Abagsan Hareer,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.54828000000,3.49696000000,NA-3802-N02-003,N02-003,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Abag-Tag,Abaqtaag,,"UNDP - 2006, FSAU",Settlement,Bay,Diinsoor,Verified,42.75650000000,2.34032000000,NA-3805-R17-001,R17-001,"2224","55",Abag-Tag,Abaqtaag,,"UNDP - 2006, FSAU",Settlement,Bay,Diinsoor,Verified,42.75650000000,2.34032000000,NA-3805-R17-001,R17-001,"55",Diinsoor,SO2403,Diinsoor,"Dinsor, Diinsor",,Bay,SO24,Somalia,SO
Abakor Cadaawe,,,UNDP - 1997,Settlement,Awdal,Borama,Verified,43.34555100000,10.03341000000,NC-3805-Z30-001,Z30-001,"8874","56",Abakor Cadaawe,,,UNDP - 1997,Settlement,Awdal,Borama,Verified,43.34555100000,10.03341000000,NC-3805-Z30-001,Z30-001,"2",Borama,SO1101,Borama,Boorama,,Awdal,SO11,Somalia,SO
Abal,,,"UNDP - 2006, UNDP - 1997, FSAU",Settlement,Bakool,Xudur,Verified,43.94177000000,3.94352000000,NA-3802-B10-003,B10-003,"6117","57",Abal,,,"UNDP - 2006, UNDP - 1997, FSAU",Settlement,Bakool,Xudur,Verified,43.94177000000,3.94352000000,NA-3802-B10-003,B10-003,"57",Xudur,SO2501,Xudur,Hudur,,Bakool,SO25,Somalia,SO
Abaq Beeday,,,"UNDP - 2006, FSAU",Settlement,Bakool,Xudur,Verified,44.03645000000,4.12090000000,NB-3814-X12-001,X12-001,"6455","58",Abaq Beeday,,,"UNDP - 2006, FSAU",Settlement,Bakool,Xudur,Verified,44.03645000000,4.12090000000,NB-3814-X12-001,X12-001,"57",Xudur,SO2501,Xudur,Hudur,,Bakool,SO25,Somalia,SO
Abaq Boostoolle1/Robow1,,,UNDP - 2006,Settlement,Lower Shabelle,Baraawe,Verified,44.11170000000,1.29942000000,NA-3810-S14-001,S14-001,"651","59",Abaq Boostoolle1/Robow1,,,UNDP - 2006,Settlement,Lower Shabelle,Baraawe,Verified,44.11170000000,1.29942000000,NA-3810-S14-001,S14-001,"48",Baraawe,SO2303,Baraawe,Barawe,,Lower Shabelle,SO23,Somalia,SO
Abaq Dhere,Abag Dheere,,"UNDP - 2006, UNDP - 1997, FSAU",Settlement,Bakool,Tayeeglow,Verified,44.36139000000,3.98630000000,NA-3802-A19-002,A19-002,"6201","60",Abaq Dhere,Abag Dheere,,"UNDP - 2006, UNDP - 1997, FSAU",Settlement,Bakool,Tayeeglow,Verified,44.36139000000,3.98630000000,NA-3802-A19-002,A19-002,"59",Tayeeglow,SO2503,Tayeeglow,"Tiyeeglow, Tayeglow, Tieglow",,Bakool,SO25,Somalia,SO
Abaq Haluul,,,UNDP - 2006,Settlement,Bay,Diinsoor,Verified,42.49589000000,2.30282000000,NA-3805-S11-001,S11-001,"2143","61",Abaq Haluul,,,UNDP - 2006,Settlement,Bay,Diinsoor,Verified,42.49589000000,2.30282000000,NA-3805-S11-001,S11-001,"55",Diinsoor,SO2403,Diinsoor,"Dinsor, Diinsor",,Bay,SO24,Somalia,SO
Abaq Mudule,,,UNDP - 1997,Settlement,Lower Shabelle,Baraawe,Verified,44.20584100000,1.35055000000,NA-3810-R16-001,R16-001,"669","62",Abaq Mudule,,,UNDP - 1997,Settlement,Lower Shabelle,Baraawe,Verified,44.20584100000,1.35055000000,NA-3810-R16-001,R16-001,"48",Baraawe,SO2303,Baraawe,Barawe,,Lower Shabelle,SO23,Somalia,SO
Abaq Turuuruq,,,UNDP - 2006,Settlement,Bakool,Tayeeglow,Verified,44.43131000000,3.92551000000,NA-3802-B21-002,B21-002,"6085","63",Abaq Turuuruq,,,UNDP - 2006,Settlement,Bakool,Tayeeglow,Verified,44.43131000000,3.92551000000,NA-3802-B21-002,B21-002,"59",Tayeeglow,SO2503,Tayeeglow,"Tiyeeglow, Tayeglow, Tieglow",,Bakool,SO25,Somalia,SO
